CANCER_TYPE	DNDS_HYPER_SCORE	DNDS_NORMAL_SCORE	FRACTION_DRIVERS_CLONAL	GENE	IS_RELATED	N_MISSENSE_DRIVER	N_PHASE_CIS	N_PHASE_TRANS	N_TRUNCATING_DRIVER	N_DRIVER
Prostate Cancer	0.999294910509126	0.9997704129592121		TAP1						
Prostate Cancer	0.999294910509126	0.9997704129592121		ERRFI1					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		STK19						
Prostate Cancer	0.999294910509126	0.9997704129592121		CRKL						
Prostate Cancer	0.999294910509126	0.9997704129592121		STK11						
Prostate Cancer	0.999294910509126	0.9997704129592121		MEN1					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		B2M		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		TAP2						
Prostate Cancer	0.999294910509126	0.9997704129592121		PMAIP1						
Prostate Cancer	0.999294910509126	0.953638049008223		CDC73					2.0	
Prostate Cancer	0.0425081324743916	2.42770337166576e-10	0.3333333333333333	PIK3CA		18.0				
Prostate Cancer	0.999294910509126	0.533073510500669		PIK3CB		1.0				
Prostate Cancer	0.999294910509126	0.17363030423495002		PIK3CD		2.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		PIK3CG						
Prostate Cancer	0.999294910509126	0.9997704129592121		IGF1R						
Prostate Cancer	0.999294910509126	0.9997704129592121		WHSC1L1						
Prostate Cancer	0.999294910509126	0.9997704129592121		NUP93						
Prostate Cancer	0.999294910509126	0.9997704129592121		TCEB1						
Prostate Cancer	0.999294910509126	0.8367302309398471		PIK3C2G						
Prostate Cancer	0.999294910509126	0.9997704129592121		CSF3R						
Prostate Cancer	0.999294910509126	0.9997704129592121		PIK3C3						
Prostate Cancer	0.999294910509126	0.804355604681622		GATA2						
Prostate Cancer	0.999294910509126	0.4081607449267971		GATA3					3.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		GATA1						
Prostate Cancer	0.999294910509126	0.9997704129592121		CCND1						
Prostate Cancer	0.999294910509126	0.577889372261573		MAX		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		CCND3						
Prostate Cancer	0.999294910509126	0.9997704129592121		CCND2						
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	ERBB2		3.0			2.0	5.0
Prostate Cancer	0.0	0.0	0.5	PTEN		18.0		1.0	29.0	47.0
Prostate Cancer	0.999294910509126	0.9997704129592121		NTHL1						
Prostate Cancer	0.811047018187354	0.9997704129592121		CTCF		1.0			6.0	7.0
Prostate Cancer	0.999294910509126	0.9997704129592121		IL7R						
Prostate Cancer	0.712174307502196	2.3006604301395096e-08		CDKN1B		1.0			3.0	4.0
Prostate Cancer	0.999294910509126	0.9997704129592121		CDKN1A						
Prostate Cancer	0.999294910509126	0.797147688607063		RIT1						
Prostate Cancer	0.999294910509126	0.9997704129592121		TRAF7						
Prostate Cancer	0.999294910509126	0.84919973109013		XPO1		2.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		CSDE1						
Prostate Cancer	0.999294910509126	0.9997704129592121		MST1						
Prostate Cancer	0.999294910509126	0.9997704129592121		SOX17					2.0	
Prostate Cancer	0.999294910509126	0.374817294357678		JAK2		2.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		JAK3		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		NF1		4.0			1.0	5.0
Prostate Cancer	9.17356884159541e-08	0.0249590952946418	0.5	JAK1		1.0			62.0	63.0
Prostate Cancer				FAM123B						
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	TMEM127		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		BLM					2.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		PPARG						
Prostate Cancer	0.999294910509126	0.9997704129592121		HIST2H3D						
Prostate Cancer	0.999294910509126	0.9997704129592121		HIST2H3C						
Prostate Cancer	0.999294910509126	0.9997704129592121		RPS6KA4						
Prostate Cancer	0.999294910509126	0.9997704129592121		CBL					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		PRDM1					1.0	
Prostate Cancer	0.999294910509126	0.940888674668841		EIF4A2						
Prostate Cancer	0.999294910509126	0.7354824383875792	1.0	MAP3K1					4.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		SESN1						
Prostate Cancer	0.999294910509126	0.9997704129592121		SESN2						
Prostate Cancer	0.999294910509126	0.9997704129592121		SESN3						
Prostate Cancer	0.999294910509126	0.871403495645605		SMAD4		3.0			1.0	4.0
Prostate Cancer	0.999294910509126	0.9997704129592121		RET		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	SMAD3					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		SMO		1.0				
Prostate Cancer	0.999294910509126	0.966372477238408	1.0	POLE		3.0				
Prostate Cancer	0.999294910509126	0.8101518884316351		REL						
Prostate Cancer	0.999294910509126	0.9997704129592121		FH		1.0				
Prostate Cancer	0.999294910509126	0.8891081463736451		PARK2						
Prostate Cancer	0.999294910509126	0.9997704129592121		TSC2					1.0	
Prostate Cancer	0.811047018187354	0.9997704129592121		TSC1					1.0	
Prostate Cancer	0.999294910509126	0.7905272547624509		NCOA3						
Prostate Cancer	0.999294910509126	0.9997704129592121		RBM10						
Prostate Cancer	0.999294910509126	0.804009133563593		INHA						
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	RXRA		1.0				
Prostate Cancer	0.999294910509126	0.8749890929300359		PRKAR1A						
Prostate Cancer	0.999294910509126	0.966372477238408		YAP1						
Prostate Cancer	0.999294910509126	0.966372477238408		ALK		1.0				
Prostate Cancer	0.999294910509126	0.297066620925253		ARID5B						
Prostate Cancer	0.999294910509126	0.9997704129592121		LMO1						
Prostate Cancer	0.999294910509126	0.9997704129592121		FOXO1					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	PBRM1		1.0			5.0	6.0
Prostate Cancer	0.999294910509126	0.9997704129592121		PRKD1						
Prostate Cancer	0.999294910509126	0.9997704129592121		CDC42						
Prostate Cancer	0.999294910509126	0.677113158768095		H3F3B						
Prostate Cancer	0.7831389924845129	0.9997704129592121		FLCN					3.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		EGFR		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121	1.0	HNF1A		1.0			1.0	2.0
Prostate Cancer	0.999294910509126	0.0	1.0	CTNNB1		3.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		PLCG2						
Prostate Cancer	3.1132878355877297e-07	0.00010386594951922701		ERF			1.0		30.0	
Prostate Cancer	0.7831389924845129	0.9997704129592121		ERG		1.0				
Prostate Cancer	0.999294910509126	0.9997704129592121		MITF						
Prostate Cancer	0.999294910509126	0.7854772640336422		RPTOR						
Prostate Cancer	0.999294910509126	0.9997704129592121		MYOD1						
Prostate Cancer	0.999294910509126	0.0		CDK12					6.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		KLF4					2.0	
Prostate Cancer	0.999294910509126	0.11418141983285698		PGR						
Prostate Cancer	0.999294910509126	0.9997704129592121		CXCR4						
Prostate Cancer				RYBP						
Prostate Cancer	0.999294910509126	0.9997704129592121		STAT5B						
Prostate Cancer	0.7831389924845129	0.9997704129592121		MDC1						
Prostate Cancer	0.999294910509126	0.9997704129592121		SUFU		1.0			2.0	3.0
Prostate Cancer	0.999294910509126	0.31674692829629497		HGF						
Prostate Cancer	0.999294910509126	0.9997704129592121		PHOX2B						
Prostate Cancer	0.999294910509126	0.6287660655673609		HOXB13						
Prostate Cancer	0.999294910509126	0.9997704129592121		E2F3						
Prostate Cancer	0.999294910509126	0.9997704129592121		CALR					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		MAP3K13						
Prostate Cancer				MAP3K14						
Prostate Cancer	0.999294910509126	0.7354824383875792		CREBBP					5.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		SMARCD1						
Prostate Cancer	0.999294910509126	0.9997704129592121		SPRED1					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		FAM58A						
Prostate Cancer	0.999294910509126	0.9997704129592121		VTCN1						
Prostate Cancer	0.999294910509126	0.9997704129592121		ARAF						
Prostate Cancer	0.999294910509126	0.9997704129592121		IKBKE						
Prostate Cancer	0.400917843666264	0.9997704129592121		FGFR4						
Prostate Cancer	0.999294910509126	0.9997704129592121		RARA		2.0				
Prostate Cancer	0.9142275512101229	0.9997704129592121		NFE2L2						
Prostate Cancer	0.999294910509126	0.9997704129592121		CBFB					1.0	
Prostate Cancer	0.999294910509126	0.0086230730813107		CDH1					1.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		CDKN2B						
Prostate Cancer	0.999294910509126	0.9997704129592121		CDKN2C						
Prostate Cancer				CDKN2A		3.0	1.0		3.0	6.0
Prostate Cancer	0.999294910509126	0.9997704129592121		BARD1					3.0	
Prostate Cancer	0.999294910509126	0.9692906173915892		CENPA						
Prostate Cancer	0.999294910509126	0.598353821074248		ARID1B		1.0			2.0	3.0
Prostate Cancer	0.999294910509126	0.389963389076119	1.0	ARID1A					13.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		CYLD					4.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		WHSC1						
Prostate Cancer	0.7831389924845129	0.0	1.0	APC		2.0			24.0	26.0
Prostate Cancer	0.999294910509126	0.94374495894382		PAK7						
Prostate Cancer	0.999294910509126	0.9997704129592121		PAK1						
Prostate Cancer	0.999294910509126	0.9997704129592121		RECQL4						
Prostate Cancer	0.9142275512101229	0.0288653830743446		FOXP1		2.0			2.0	4.0
Prostate Cancer	0.999294910509126	0.9997704129592121		SDHC						
Prostate Cancer	0.811047018187354	0.6287660655673609	0.5	FUBP1					5.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		RRAS						
Prostate Cancer	0.999294910509126	0.9997704129592121		CYSLTR2						
Prostate Cancer	0.999294910509126	0.9997704129592121		MYCN						
Prostate Cancer	0.999294910509126	0.9997704129592121		U2AF1						
Prostate Cancer	0.999294910509126	0.9997704129592121		CCNE1						
Prostate Cancer	0.8119628861193431	0.689978905327054		IGF2						
Prostate Cancer	0.999294910509126	0.9997704129592121		IGF1						
Prostate Cancer	0.999294910509126	0.26508212956876104		TCF3					4.0	
Prostate Cancer	0.999294910509126	0.297066620925253	0.0	ARID2		1.0			3.0	4.0
Prostate Cancer	0.999294910509126	0.9997704129592121		TEK						
Prostate Cancer	0.999294910509126	0.9997704129592121	0.0	XRCC2					2.0	
Prostate Cancer	0.999294910509126	0.9997704129592121		SMYD3						
Prostate Cancer	0.999294910509126	0.0190373310861404		EIF4E						
Prostate Cancer	0.999294910509126	0.9997704129592121		EPAS1						
Prostate Cancer	0.999294910509126	0.0007086173764757089	1.0	MGA		1.0			9.0	10.0
